epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.794,1.96984,3.39159,2.55551,0.17506,0.27273,0.12966,0.03213,2.04121,5.49741,2.75654,4e-05,4e-05,4e-05
2,974.926,1.95002,3.23811,2.40411,0.04375,0.18182,0.03357,0.01032,2.05074,4.2168,2.75977,9.802e-05,9.802e-05,9.802e-05
